Ranking,Player Name,Reasoning
1,Stephen Curry,"Greatest Shooter of all time, he puts on a show whenever he catches fire."
2,Lebron James,"The greatest player of all time. His longevity is insane, he's been in the league before I was born and still one of the best players in the league."
3,Shai Gilgeous-Alexander,"He has so much aura, he plays the game very smart and creates easy shots, and makes tough shots"
4,Stephon Castle,"He's a defensive beast, so athletic and can jump out the gym. Plus he's only in his 2nd year."
5,Dylan Harper,"I have never seen him miss a contact layup, he gets a bucket when no one else can. Toughest rookie I've ever seen."
6,Scottie Barnes,"He plays for the Raptors (the only Canadian team), plus he's extremely entertaining and stupid. Defense is off the charts too."
7,Kawhi Leonard,"He won us a chip back in 2019, and he plays methodically. Great defense and amazing mid range."
8,Jeremy Lin,I have to represent for my Asian heritage. Linsanity was and still is an unforgettable run.
9,Anthony Edwards,"One of the most entertaining players in the league. Super athletic, talks crazy, and can completely take over when he gets hot."
10,Ja Morant,Every drive feels like he might do something ridiculous. He plays fearless and is one of the best pure showmen in basketball.
11,Victor Wembanyama,"He looks like a created player. The blocks are insane, he's way too skilled for his size, and he's only going to get scarier."
12,Kyle Lowry,Raptors legend and the heart of the team that finally won it all. He did all the little things and always played tougher than his size.
13,DeMar DeRozan,"Toronto legend, elite footwork, and one of the smoothest mid-range scorers ever. He can get a tough bucket without needing a three."
14,Zach Edey,"Canadian and Asian representation, plus he's massive and plays physical. It's fun watching someone that big punish people in the paint."
15,Amen Thompson,Basically a defensive cheat code who can also jump out of the gym. His athleticism and energy make him impossible not to watch.
16,Cooper Flagg,"Young, fearless, and already impacts both ends. He plays with a ton of energy and looks like he wants every big matchup."
17,Jalen Williams,"Smooth, smart, and really good on both ends. He never looks rushed and he can still make tough shots when the offense breaks down."
18,Jamal Murray,"Canadian, clutch, and built for big playoff moments. When he gets hot from the mid range he looks impossible to guard."
19,Nikola Jokic,"He makes basketball look way too easy. His passing and decision-making are ridiculous, and he creates great shots without needing crazy athleticism."
20,Kevin Durant,"One of the cleanest scorers ever. His mid range is automatic, he can shoot over anybody, and tough shots barely look tough for him."
